Date,AMC,GME,DIS,DOGE,AMZN,VTSAX
9/14/2020,5.54,6.91,131.25,0.0028,3102.97,83.6
9/15/2020,5.52,7.09,131.24,0.0028,3156.13,84.08
9/16/2020,5.76,8.68,132.09,0.0028,3078.1,83.8
9/17/2020,5.72,9.2,130.22,0.0028,3008.73,83.09
9/18/2020,5.67,9.47,128.63,0.0028,2954.91,82.31
9/21/2020,5.32,8.75,125.41,0.0028,2960.47,81.31
9/22/2020,5.21,10.56,127.21,0.0028,3128.99,82.11
9/23/2020,4.78,10.04,123.28,0.0028,2999.86,80.11
9/24/2020,4.61,9.14,122.49,0.0028,3019.79,79.96
9/25/2020,4.88,10.02,124,0.0026,3095.13,81.3
9/28/2020,4.91,10.09,125.99,0.0027,3174.05,82.68
9/29/2020,4.86,10.35,125.4,0.0026,3144.88,82.31
9/30/2020,4.71,10.2,124.08,0.0026,3148.73,82.94
10/1/2020,4.65,9.77,123.31,0.0027,3221.26,83.57
10/2/2020,4.65,9.39,122.55,0.0027,3125,82.89
10/5/2020,4.13,9.46,123.37,0.0027,3199.2,84.45
10/6/2020,4.06,9.13,120.93,0.0027,3099.96,83.4
10/7/2020,4.04,9.36,122.91,0.0027,3195.69,84.88
10/8/2020,4.14,13.49,123.09,0.0026,3190.55,85.59
10/9/2020,4.05,12.02,124.98,0.0026,3286.65,86.32
10/12/2020,4.08,11.8,124.97,0.0026,3442.93,87.59
10/13/2020,3.54,11.88,128.96,0.0026,3443.63,87.14
10/14/2020,2.96,12.25,126.59,0.0026,3363.71,86.58
10/15/2020,2.78,13.83,127.36,0.0026,3338.65,86.53
10/16/2020,3.04,13.31,126.81,0.0026,3272.71,86.49
10/19/2020,3.54,13.91,124.23,0.0026,3207.21,85.16
10/20/2020,3.09,13.86,124.95,0.0026,3217.01,85.48
10/21/2020,3,14.1,126.63,0.0027,3184.94,85.21
10/22/2020,3.12,14.91,127.56,0.0027,3176.4,85.76
10/23/2020,2.97,15,128.35,0.0027,3204.4,86.1
10/26/2020,2.75,13.45,124.06,0.0027,3207.04,84.48
10/27/2020,2.79,12.69,123.31,0.0026,3286.33,84.19
10/28/2020,2.61,11.82,118.47,0.0026,3162.78,81.33
10/29/2020,2.52,11.73,121.54,0.0026,3211.01,82.26
10/30/2020,2.36,10.47,121.25,0.0026,3036.15,81.16
11/2/2020,2.15,10.75,120.13,0.0026,3004.48,82.18
11/3/2020,2.34,11.57,124.02,0.0026,3048.41,83.76
11/4/2020,2.31,10.91,125.07,0.0026,3241.16,85.51
11/5/2020,2.46,11.45,126.96,0.0026,3322,87.29
11/6/2020,2.49,11.86,127.46,0.0026,3311.37,87.23
11/9/2020,3.77,11.49,142.59,0.0027,3143.74,87.23
11/10/2020,3.51,11.1,142.11,0.0026,3035.02,88.16
11/11/2020,3.13,11.75,137.82,0.0026,3137.39,88.84
11/12/2020,2.94,11.13,135.52,0.0027,3110.28,87.97
11/13/2020,2.97,11.01,138.36,0.0027,3128.81,89.18
11/16/2020,3.11,12.06,144.67,0.0027,3131.06,90.28
11/17/2020,2.98,11.63,144.5,0.0026,3135.66,90.07
11/18/2020,3.26,11.57,143.9,0.0026,3105.46,89.16
11/19/2020,3.19,12.46,141.72,0.0026,3117.02,89.66
11/20/2020,3.35,12.71,141.07,0.0026,3099.4,89.18
11/23/2020,3.81,13.9,145.98,0.0026,3098.39,89.89
11/24/2020,4.58,13.67,151.49,0.0025,3118.06,91.29
11/25/2020,4.49,14.75,149.09,0.0025,3185.07,91.24
11/27/2020,4.45,16.08,147.13,0.0025,3195.34,91.58
11/30/2020,4.27,16.56,148.01,0.0026,3168.04,91.06
12/1/2020,4.15,15.8,149.44,0.0028,3220.08,91.99
12/2/2020,4.32,16.58,153.61,0.0027,3203.53,92.09
12/3/2020,3.63,16.12,153.24,0.0027,3186.73,92.23
12/4/2020,3.51,16.9,154.14,0.0027,3162.58,93.19
12/7/2020,3.56,16.35,153.68,0.0028,3158,93.1
12/8/2020,3.98,16.94,153.72,0.0028,3177.29,93.48
12/9/2020,3.86,13.66,154.43,0.0028,3104.2,92.62
12/10/2020,4.09,14.12,154.69,0.0028,3101.49,92.76
12/11/2020,3.92,13.31,175.72,0.0028,3116.42,92.59
12/14/2020,3.19,12.72,169.3,0.0028,3156.97,92.33
12/15/2020,2.86,13.85,173.94,0.0029,3165.12,93.57
12/16/2020,2.78,13.85,173.12,0.0029,3240.96,93.69
12/17/2020,2.85,14.83,173.55,0.0029,3236.08,94.42
12/18/2020,2.8,15.63,172.89,0.0029,3201.65,94.21
12/21/2020,2.68,15.53,170.69,0.003,3206.18,93.93
12/22/2020,2.59,19.46,170.45,0.0035,3206.52,93.95
12/23/2020,2.56,20.57,173.55,0.0033,3185.27,93.66
12/24/2020,2.51,20.15,173.73,0.0036,3172.69,93.91
12/28/2020,2.39,20.99,178.86,0.0042,3283.96,94.4
12/29/2020,2.29,19.38,177.3,0.0037,3322,94.03
12/30/2020,2.16,19.26,181.17,0.0032,3285.85,94.28
12/31/2020,2.12,18.84,181.18,0.0033,3256.93,94.74
1/4/2021,2.01,17.25,177.68,0.0034,3186.63,93.35
1/5/2021,1.98,17.37,178.44,0.0034,3218.51,94.14
1/6/2021,2.01,18.36,179.12,0.0036,3138.38,94.93
1/7/2021,2.05,18.08,178.58,0.0033,3162.16,96.49
1/8/2021,2.14,17.69,178.69,0.0034,3182.7,96.95
1/11/2021,2.2,19.94,179.09,0.0034,3114.21,96.43
1/12/2021,2.29,19.95,175.99,0.0033,3120.83,96.73
1/13/2021,2.18,31.4,176.12,0.0034,3165.89,96.82
1/14/2021,2.18,39.91,173.43,0.0034,3127.47,96.71
1/15/2021,2.33,35.5,171.44,0.0033,3104.25,95.95
1/19/2021,3.06,39.36,172.26,0.0032,3120.76,96.78
1/20/2021,2.97,39.12,173.64,0.0032,3263.38,98.02
1/21/2021,2.98,43.03,171.28,0.0031,3306.99,97.93
1/22/2021,3.51,65.01,172.78,0.0031,3292.23,97.79
1/25/2021,4.42,76.79,171.89,0.0032,3294,98.04
1/26/2021,4.96,147.98,169.56,0.0033,3326.13,97.74
1/27/2021,19.9,347.51,163.03,0.0032,3232.58,95.21
1/28/2021,8.63,193.6,171.88,0.0032,3237.62,96.18
1/29/2021,13.26,325,168.17,0.0034,3206.2,94.43
2/1/2021,13.3,225,170.97,0.0037,3342.88,
,,,,0.0039,,
,,,,0.0039,,
,,,,0.0046,,
